Repository,Statements,Missed,Coverage,Threshold,Pass?
fabric8-analytics-common,N/A,N/A,N/A,90%,no
fabric8-analytics-server,1801,972,46%,90%,no
fabric8-analytics-worker,5384,1889,65%,90%,no
fabric8-analytics-jobs,1994,1526,23%,90%,no
fabric8-analytics-tagger,887,38,96%,90%,yes
fabric8-analytics-stack-analysis,2118,1029,51%,90%,no
fabric8-analytics-license-analysis,840,54,94%,90%,yes
fabric8-analytics-data-model,1132,55,95%,90%,yes
fabric8-analytics-recommender,N/A,N/A,N/A,90%,no
fabric8-analytics-api-gateway,149,69,54%,90%,no
fabric8-analytics-nvd-toolkit,1042,93,91%,90%,yes
fabric8-analytics-auth,154,31,80%,90%,no
fabric8-gemini-server,617,48,92%,90%,yes
fabric8-analytics-version-comparator,217,0,100%,90%,yes
fabric8-analytics-ingestion,228,107,53%,90%,no
fabric8-analytics-npm-insights,180,68,62%,90%,no
fabric8-analytics-notification-scheduler,554,190,66%,90%,no
fabric8-analytics-utils,280,1,99%,90%,yes
fabric8-analytics-github-refresh-cronjob,70,6,91%,90%,yes
fabric8-analytics-github-events-monitor,230,20,91%,90%,yes
fabric8-analytics-release-monitor,126,21,83%,90%,no
f8a-server-backbone,902,82,91%,90%,yes
fabric8-analytics-rudra,N/A,N/A,N/A,90%,no
fabric8-analytics-scaler,N/A,N/A,N/A,90%,no
f8a-emr-deployment,88,49,44%,90%,no
f8a-hpf-insights,160,16,90%,90%,yes
f8a-golang-insights,222,108,51%,90%,no
f8a-pypi-insights,149,72,52%,90%,no
f8a-stacks-report,1004,127,87%,90%,no
f8a-data-ingestion-service,N/A,N/A,N/A,90%,no
cvejob,684,107,84%,90%,no
victimsdb-lib,204,0,100%,90%,yes
fabric8-analytics-jenkins-plugin,348,112,67%,90%,no
